"Correlation id","Operation name","Status","Event category","Level","Time","Subscription","Event initiated by","Resource type","Resource group","Resource"
"37e5bc1d-1d08-42ad-9b61-b48f04df9d80","Update web sites config","Succeeded","Administrative","Informational","2026-04-26T09:11:31.240Z","a76a4211-bd78-4db6-a1e2-3d94fd1a21d3","AnnasRidhoSadila@outlook.com","Microsoft.Web/sites/config","rg-toko-lej","/subscriptions/a76a4211-bd78-4db6-a1e2-3d94fd1a21d3/resourceGroups/rg-toko-lej/providers/Microsoft.Web/sites/toko-lej/config/appsettings"
"37e5bc1d-1d08-42ad-9b61-b48f04df9d80","Update web sites config","Started","Administrative","Informational","2026-04-26T09:11:30.287Z","a76a4211-bd78-4db6-a1e2-3d94fd1a21d3","AnnasRidhoSadila@outlook.com","Microsoft.Web/sites/config","rg-toko-lej","/subscriptions/a76a4211-bd78-4db6-a1e2-3d94fd1a21d3/resourceGroups/rg-toko-lej/providers/Microsoft.Web/sites/toko-lej/config/appsettings"
"a0e5347e-edc9-4375-85d3-222eb74f57d8","Update web sites config","Succeeded","Administrative","Informational","2026-04-26T09:11:30.422Z","a76a4211-bd78-4db6-a1e2-3d94fd1a21d3","AnnasRidhoSadila@outlook.com","Microsoft.Web/sites/config","rg-toko-lej","/subscriptions/a76a4211-bd78-4db6-a1e2-3d94fd1a21d3/resourceGroups/rg-toko-lej/providers/Microsoft.Web/sites/toko-lej/config/slotConfigNames"
"a0e5347e-edc9-4375-85d3-222eb74f57d8","Update web sites config","Started","Administrative","Informational","2026-04-26T09:11:30.016Z","a76a4211-bd78-4db6-a1e2-3d94fd1a21d3","AnnasRidhoSadila@outlook.com","Microsoft.Web/sites/config","rg-toko-lej","/subscriptions/a76a4211-bd78-4db6-a1e2-3d94fd1a21d3/resourceGroups/rg-toko-lej/providers/Microsoft.Web/sites/toko-lej/config/slotConfigNames"
"6bde1409-8864-4a51-a1e5-f32c41b8b0f1","UpdateWebSite","Succeeded","Administrative","Informational","2026-04-26T09:02:25.000Z","a76a4211-bd78-4db6-a1e2-3d94fd1a21d3","","MICROSOFT.WEB/sites","RG-TOKO-LEJ","/SUBSCRIPTIONS/A76A4211-BD78-4DB6-A1E2-3D94FD1A21D3/RESOURCEGROUPS/RG-TOKO-LEJ/PROVIDERS/MICROSOFT.WEB/SITES/TOKO-LEJ"
"6bde1409-8864-4a51-a1e5-f32c41b8b0f1","UpdateWebSite","Started","Administrative","Informational","2026-04-26T09:02:24.000Z","a76a4211-bd78-4db6-a1e2-3d94fd1a21d3","","MICROSOFT.WEB/sites","RG-TOKO-LEJ","/SUBSCRIPTIONS/A76A4211-BD78-4DB6-A1E2-3D94FD1A21D3/RESOURCEGROUPS/RG-TOKO-LEJ/PROVIDERS/MICROSOFT.WEB/SITES/TOKO-LEJ"
"326cda86-8df7-470d-8120-11c2f79af608","Update web sites config","Succeeded","Administrative","Informational","2026-04-26T09:02:25.664Z","a76a4211-bd78-4db6-a1e2-3d94fd1a21d3","AnnasRidhoSadila@outlook.com","Microsoft.Web/sites/config","rg-toko-lej","/subscriptions/a76a4211-bd78-4db6-a1e2-3d94fd1a21d3/resourceGroups/rg-toko-lej/providers/Microsoft.Web/sites/toko-lej/config/web"
"326cda86-8df7-470d-8120-11c2f79af608","Update web sites config","Started","Administrative","Informational","2026-04-26T09:02:24.429Z","a76a4211-bd78-4db6-a1e2-3d94fd1a21d3","AnnasRidhoSadila@outlook.com","Microsoft.Web/sites/config","rg-toko-lej","/subscriptions/a76a4211-bd78-4db6-a1e2-3d94fd1a21d3/resourceGroups/rg-toko-lej/providers/Microsoft.Web/sites/toko-lej/config/web"
"e38ba1b8-2eb1-430b-9758-e9ac61925759","Get Web App Publishing Profile","Succeeded","Administrative","Informational","2026-04-26T07:24:57.792Z","a76a4211-bd78-4db6-a1e2-3d94fd1a21d3","oidc-msi-84e8","Microsoft.Web/sites","rg-toko-lej","/subscriptions/a76a4211-bd78-4db6-a1e2-3d94fd1a21d3/resourceGroups/rg-toko-lej/providers/Microsoft.Web/sites/toko-lej"
"e38ba1b8-2eb1-430b-9758-e9ac61925759","Get Web App Publishing Profile","Started","Administrative","Informational","2026-04-26T07:24:57.605Z","a76a4211-bd78-4db6-a1e2-3d94fd1a21d3","oidc-msi-84e8","Microsoft.Web/sites","rg-toko-lej","/subscriptions/a76a4211-bd78-4db6-a1e2-3d94fd1a21d3/resourceGroups/rg-toko-lej/providers/Microsoft.Web/sites/toko-lej"
